3cpio	0.14.0-1ubuntu1
7zip	26.00+dfsg-1
acl	2.3.2-2
adduser	3.153ubuntu1
adwaita-icon-theme	50.0-1
alsa-topology-conf	1.2.5.1-3build1
alsa-ucm-conf	1.2.15.3-1ubuntu1.5
amd64-microcode	3.20251202.1ubuntu2
apache2	2.4.66-2ubuntu2.4
apache2-bin	2.4.66-2ubuntu2.4
apache2-data	2.4.66-2ubuntu2.4
apache2-utils	2.4.66-2ubuntu2.4
apparmor	5.0.2-0ubuntu1~26.04.1
apport	2.34.1-0ubuntu0.1
apport-core-dump-handler	2.34.1-0ubuntu0.1
apport-symptoms	0.25build1
appstream	1.1.2-1
apt	3.2.0
apt-transport-https	3.2.0
at-spi2-common	2.60.4-0ubuntu0.1
at-spi2-core	2.60.4-0ubuntu0.1
attr	1:2.5.2-4
base-files	14ubuntu6.1
base-passwd	3.6.8
bash	5.3-2ubuntu1
bash-completion	1:2.16.0-8build1
bcache-tools	1.0.8-5ubuntu1
bind9-dnsutils	1:9.20.24-1ubuntu0.1
bind9-host	1:9.20.24-1ubuntu0.1
bind9-libs:amd64	1:9.20.24-1ubuntu0.1
binutils	2.46-3ubuntu2
binutils-common:amd64	2.46-3ubuntu2
binutils-x86-64-linux-gnu	2.46-3ubuntu2
bpfcc-tools	0.35.0+ds-1ubuntu2
bpftool	7.7.0+7.0.0-29.29
bpftrace	0.25.0-1ubuntu1
bsdextrautils	2.41.3-3ubuntu2
bsdutils	1:2.41.3-3ubuntu2
btrfs-progs	6.17.1-1build1
bubblewrap	0.11.1-1ubuntu0.1
build-essential	12.12ubuntu2.26.04.2
busybox-initramfs	1:1.37.0-7ubuntu1
busybox-static	1:1.37.0-7ubuntu1
bzip2	1.0.8-6build2
ca-certificates	20260601~26.04.1
ca-certificates-java	20260311
chrony	4.7-1ubuntu1
clamav	1.5.3+dfsg-0ubuntu0.26.04.1
clamav-base	1.5.3+dfsg-0ubuntu0.26.04.1
clamav-daemon	1.5.3+dfsg-0ubuntu0.26.04.1
clamav-freshclam	1.5.3+dfsg-0ubuntu0.26.04.1
clamdscan	1.5.3+dfsg-0ubuntu0.26.04.1
cloud-guest-utils	0.33-1build1
cloud-init	26.1-0ubuntu3~26.04.1
cloud-init-base	26.1-0ubuntu3~26.04.1
cockpit	360-1
cockpit-bridge	360-1
cockpit-packagekit	360-1
cockpit-storaged	360-1
cockpit-system	360-1
cockpit-ws	360-1
console-setup	1.237ubuntu3
console-setup-linux	1.237ubuntu3
containerd	2.2.2-0ubuntu1.1
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25
coreutils-from-uutils	0.0.0~ubuntu25
cpio	2.15+dfsg-2.1
cpp	4:15.2.0-5ubuntu1
cpp-15	15.2.0-16ubuntu1
cpp-15-x86-64-linux-gnu	15.2.0-16ubuntu1
cpp-x86-64-linux-gnu	4:15.2.0-5ubuntu1
cpu-checker	0.7-1.4build1
cracklib-runtime	2.9.6-5.2build3
crash	9.0.1+~16.3-1ubuntu1
cron	3.0pl1-200ubuntu1
cron-daemon-common	3.0pl1-200ubuntu1
cryptsetup	2:2.8.4-1ubuntu4
cryptsetup-bin	2:2.8.4-1ubuntu4
cryptsetup-initramfs	2:2.8.4-1ubuntu4
curl	8.18.0-1ubuntu2.3
dash	0.5.12-12ubuntu3
dbus	1.16.2-2ubuntu4
dbus-bin	1.16.2-2ubuntu4
dbus-daemon	1.16.2-2ubuntu4
dbus-session-bus-common	1.16.2-2ubuntu4
dbus-system-bus-common	1.16.2-2ubuntu4
dbus-user-session	1.16.2-2ubuntu4
dconf-gsettings-backend:amd64	0.49.0-4
dconf-service	0.49.0-4
debconf	1.5.92
debianutils	5.23.2build1
deluge-common	2.2.1~dev0+20250824-3
deluge-web	2.2.1~dev0+20250824-3
deluged	2.2.1~dev0+20250824-3
dhcpcd-base	1:10.3.0-7
diffutils	1:3.12-1
dirmngr	2.4.8-4ubuntu3
distro-info-data	0.72-0ubuntu0.26.04.1
dmeventd	2:1.02.205-2ubuntu3
dmidecode	3.6-2build1
dmsetup	2:1.02.205-2ubuntu3
dns-root-data	2025080400build1
dnsmasq-base	2.92-1ubuntu0.4
docker-compose-v2	2.40.3+ds1-0ubuntu1
docker.io	29.1.3-0ubuntu4.1
dockermanager	1.0.7
dosfstools	4.2-1.2build1
dpkg	1.23.7ubuntu1
